,Brand,Price,Color,Features,Condition,Condition Description,Seller Note,GPU,Processor,Processor Speed,Type,Display Width,Display Height,OS,Storage Type,Hard Drive Capacity,SSD Capacity,Screen Size (inch),Ram Size
2190,asus,31.0,silver,Touchscreen,For parts or not working,"An item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, items that are locked or can't be activated, or items missing essential components. See the seller's listing for full details.","selling for parts only! good screen, however unit does not work, only turns on. has google account lock. ships chromebook only in bulk packaging",other,arm rockchip rk3288 cortex a17 quad-core,1.8,notebook/laptop,1280.0,800.0,chrome,unknown,16.0,16.0,10.1,4.0
2193,hp,355.8,other,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, LTE, NFC, Touchscreen, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",hp elitebook x360 2-in-1 touch screen foldable laptop is in excellent condition with minor signs of usage and may have very minor surface scratches. photos are for illustrative purposes only.,intel,intel core i7 8th generation,4.6,notebook/laptop,1920.0,1080.0,windows,ssd,98.89,512.0,13.3,16.0
2195,hp,8.99,black,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,undefined,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,9.07658618216591,5.98
2198,dell,376.0,other,"10/100 LAN Card, Wi-Fi, SD Card Reader",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,nvidia,intel core i5 4th generation,2.6,notebook/laptop,1280.0,720.0,windows,unknown,98.89,240.0,14.0,5.98
2199,dell,750.0,gray,"3D Camera, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Wi-Fi",Open box,"An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.",undefined,other,intel core i7 i7-1355u,1.7,notebook/laptop,1920.0,1080.0,windows,ssd,256.0,256.0,14.0,8.0
2201,acer,49.5,other,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel,1.1861742242409754,other,779.2421706908917,447.94931867081044,chrome,unknown,98.89,205.95,10.2,5.98
2203,asus,3668.0,other,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Virtual Reality Ready",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,nvidia,intel core i9 13th generation,1.1861742242409754,notebook/laptop,2560.0,1600.0,windows,ssd,2000.0,2000.0,18.0,32.0
2205,hp,94.94,other,"Built-in Microphone, Built-in Webcam, Bluetooth, Trackpad with Screen, Wi-Fi, Rugged",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,amd,amd a6 quad-core,2.0,notebook/laptop,1366.0,768.0,windows,ssd,1000.0,120.0,15.6,5.98
2206,dell,318.2,other,"10/100 LAN Card, Wi-Fi, SD Card Reader",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,nvidia,intel core i5 4th generation,2.6,notebook/laptop,1280.0,720.0,windows,unknown,98.89,120.0,14.0,5.98
2209,hp,593.5,other,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","great condition. all hardware work perfectly. cosmetically there may be marks and minor dent on the lid, nothing that would affect functionality whatsoever. screen and palm rest in immaculate condition. comes with original charger.",intel,intel core i5 12th generation,1.1861742242409754,other,1920.0,1080.0,windows,ssd,512.0,512.0,15.6,8.0
2210,hp,227.8,other,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Force Touch Trackpad,  Touch ID,  Touchscreen,  Wi-Fi",For parts or not working,"An item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, items that are locked or can't be activated, or items missing essential components. See the seller's listing for full details.",undefined,other,intel core i7 8th generation,1.1861742242409754,notebook/laptop,779.2421706908917,447.94931867081044,windows,ssd,98.89,1000.0,13.0,5.98
2211,acer,63.25,other,"Bluetooth,  Built-in Webcam,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel celeron,1.4,notebook/laptop,779.2421706908917,447.94931867081044,chrome,ssd,2.0,16.0,11.6,5.98
2213,lenovo,170.9,other,"10/100 LAN Card, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","good condition, 3 months warranty",other,intel core i5 8th generation,1.6,notebook/laptop,1366.0,768.0,windows,ssd,98.89,256.0,15.6,8.0
2215,lenovo,67.5,other,Built-in Webcam,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",this is a used working item in fair cosmetic condition that is thoroughly tested and is guaranteed working as described,other,intel core i5 4th generation,1.9,other,779.2421706908917,447.94931867081044,unknown,hdd/ssd,500.0,205.95,14.0,5.98
2216,dell,110.0,blue,"10/100 LAN Card, 3D Camera, Wi-Fi, Bluetooth",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 3rd generation,2.6,notebook/laptop,1366.0,768.0,windows,ssd,128.0,128.0,12.0,8.0
2217,hp,50.0,purple,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel celeron n3060,1.6,notebook/laptop,779.2421706908917,447.94931867081044,windows,ssd,98.89,32.0,11.6,4.0
2218,dell,109.94,other,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel core i5 4th generation,1.1861742242409754,notebook/laptop,1366.0,768.0,windows,hdd/ssd,500.0,205.95,14.0,8.0
2219,dell,150.0,other,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel core i5 3rd generation,2.5,other,779.2421706908917,447.94931867081044,linux,ssd,256.0,256.0,15.6,5.98
2220,hp,114.94,black,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel celeron n,1.1,notebook/laptop,1366.0,768.0,windows,hdd/ssd,500.0,205.95,15.6,4.0
2221,lenovo,139.2,other,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","good overall condition, some minor marks. sold with a new generic battery and charger",other,intel core i5 1st generation,2.4,other,779.2421706908917,447.94931867081044,windows,ssd,98.89,120.0,12.5,5.98
2222,lenovo,50.0,other,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel core 2 duo,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,3.0,205.95,14.0,3.0
2223,dell,99.0,other,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",good working condition,other,intel core 2 duo,1.6,notebook/laptop,1280.0,800.0,unknown,hdd/ssd,98.89,205.95,12.1,3.0
2224,asus,229.0,other,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","an item that has been used previously. the item may have some signs of cosmetic wear, but is fully operational and functions as intended. see the seller’s listing for full details and description of any imperfections.",other,intel core i3,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,9.07658618216591,5.98
2225,dell,79.94,gray,"Widescreen Display, Bluetooth, Optical Drive, 10/100 LAN Card, Built-in Webcam, Wi-Fi, Built-in Microphone, Backlit Keyboard",Undefined,Undefined,undefined,intel,intel core i7 3rd generation,2.7,notebook/laptop,1366.0,768.0,windows,ssd,240.0,256.0,15.6,8.0
2226,lenovo,179.5,gray,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Widescreen Display, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",item cleaned and tested. items are grade a- to b+ in condition. any defective or worn parts are replaced. laptop is refreshed with windows and bonus software including an office suite. bonus software can be removed if requested. all software updates are done and all drivers installed. completed by microsoft certified technicians.,intel,intel core i5-6300u,2.4,notebook/laptop,1920.0,1080.0,windows,ssd,128.0,128.0,14.0,8.0
2227,dell,44.97,black,"Optical Drive, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel core 2 duo,2.26,notebook/laptop,1920.0,1200.0,unknown,unknown,98.89,205.95,15.4,4.0
2228,lenovo,400.0,other,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",fully tested one year warranty,other,intel core i7 7th generation,2.8,notebook/laptop,1920.0,1080.0,windows,hdd/ssd,2000.0,2000.0,14.0,32.0
2229,hp,220.0,black,"8 GB,  BT,  Cam,  Wi-Fi",Open box,"An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.",guaranteed to be in perfect working and cosmetic condition. loc. 031,intel,intel celeron n,1.1,notebook/laptop,1366.0,768.0,windows,ssd,98.89,128.0,14.0,8.0
2230,dell,300.2,other,"10/100 LAN Card,  Wi-Fi,  SD Card Reader",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 4th generation,2.6,notebook/laptop,1280.0,720.0,windows,unknown,98.89,120.0,14.0,5.98
2231,hp,300.0,other,No specifications,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,intel core i3,1.1861742242409754,notebook/laptop,779.2421706908917,447.94931867081044,windows,unknown,4.0,205.95,14.0,4.0
2232,lenovo,45.0,black,No specifications,For parts or not working,"An item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, items that are locked or can't be activated, or items missing essential components. See the seller's listing for full details.","used, power cord not included! please read below for condition.",other,not applicable,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,11.6,5.98
2233,dell,150.0,other,"Backlit Keyboard, Built-in Webcam, Touchscreen",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",great condition,other,intel core i3 6th generation,2.3,notebook/laptop,779.2421706908917,447.94931867081044,windows,ssd,98.89,512.0,13.3,5.98
2234,acer,280.0,other,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",good conditions - work well - windows 11 pro - radeon vega 6 - read full description,other,amd ryzen 3,1.1861742242409754,other,779.2421706908917,447.94931867081044,windows,ssd,20.0,512.0,15.6,20.0
2235,microsoft,599.0,black,"Touchscreen, Bluetooth, Wi-Fi, LTE",Undefined,Undefined,undefined,other,microsoft sq2,1.8,notebook/laptop,2880.0,1920.0,windows,ssd,98.89,256.0,13.0,16.0
2236,dell,269.0,silver,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","this latitude notebook is looking for a new home. it's in good working condition with cosmetic blemishes associated with light use. it comes loaded with a fast 11th gen i5 processor, plenty of memory and storage, windows 11 pro, a genuine dell charger and dell pro support warranty until 10/2024. upgrades are available below.",intel,intel core i5 11th generation,2.4,notebook/laptop,1920.0,1080.0,windows,ssd,98.89,512.0,14.0,8.0
2237,hp,300.0,silver,"Touch ID, Multi-Touch Trackpad, Bluetooth, Wi-Fi, Force Touch Trackpad, Backlit Keyboard, Built-in Microphone, Built-in Webcam, Touchscreen, Widescreen Display, Convertible 2-in-1 Laptop/Tablet",Undefined,Undefined,undefined,intel,intel core i5 11th generation,2.4,notebook/laptop,1920.0,1080.0,windows,ssd,256.0,256.0,14.0,8.0
2238,lenovo,819.5,other,No specifications,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,amd ryzen 7 pro 6850u,1.1861742242409754,notebook/laptop,1920.0,1200.0,unknown,unknown,512.0,512.0,14.0,512.0
2239,dell,330.0,other,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Convertible 2-in-1 Laptop/Tablet",Good - Refurbished,"The item shows moderate wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition by qualified sellers. The item includes original or new accessories and will come in a new generic packaging. See the seller's listing for full details.",undefined,other,intel core i7 8th generation,1.9,notebook/laptop,1920.0,1080.0,windows,ssd,512.0,512.0,13.3,16.0
2240,hp,210.0,other,Wi-Fi,Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",fully tested one year warranty,other,intel core i5 6th gen,2.5,notebook/laptop,779.2421706908917,447.94931867081044,windows,ssd,800.0,800.0,14.0,16.0
2241,dell,350.0,black,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","these system has been professionally refurbished, comes with a fresh install of windows 10 professional (default) and ms office 2021. send us a message if you want win 11 professional. laptops will show signs of use but do not affect performance and are in 100% working condition",other,intel core i7 7th generation,1.1861742242409754,notebook/laptop,779.2421706908917,447.94931867081044,windows,ssd,256.0,205.95,15.6,8.0
2242,lenovo,220.0,black,"10/100 LAN Card, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,amd,amd ryzen 7 quad-core,2.2,notebook/laptop,1920.0,1080.0,windows,ssd,98.89,205.95,15.6,16.0
2243,dell,90.0,black,"10/100 LAN Card, Multi-Touch Trackpad, Optical Drive, Rugged, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","refurbished and ready to use - fresh install vintage windows xp pro sp3 32 bit - intended for running older software - 14.1"" hd screen - intel i5 2.5 ghz. processor - intel hd graphics - 4 gb ram - 160 gb hard drive - cd/dvd - ethernet port - wifi - battery included, takes charge - no guarantee on used batteries - charger included - multiple units available - units will show moderate cosmetic signs of previous use such as scuff scratch ding or dent on outer casing / top cover",intel,intel i5-2520m,2.5,notebook/laptop,1024.0,768.0,windows,hdd/ssd,160.0,205.95,14.1,4.0
2244,dell,248.5,gray,"WiFi, Headphone Mic Combo Jack, Bluetooth, Built-in Microphone, Built-in Webcam",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i3 4th generation,1.7,notebook/laptop,1366.0,768.0,windows,ssd,98.89,120.0,13.3,8.0
2245,hp,727.0,other,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",genuine hp original manufacturer renewed product in brand new condition. packaged in the hp original factory sealed box with 1 year hp direct support and warranty,other,intel core i5-1235u,1.1861742242409754,notebook/laptop,779.2421706908917,447.94931867081044,unknown,unknown,98.89,256.0,13.5,16.0
2246,hp,210.0,silver,"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel core i7 5th generation,2.6,notebook/laptop,1366.0,768.0,windows,ssd,256.0,256.0,11.6,8.0
2247,asus,806.0,blue,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Built-in Microphone",Undefined,Undefined,undefined,nvidia,amd ryzen 7,3.2,notebook/laptop,2880.0,1800.0,windows,ssd,1000.0,1000.0,14.0,16.0
2248,lenovo,699.0,black,No specifications,Excellent - Refurbished,"The item is in like-new condition, backed by a one year warranty. It has been professionally refurbished, inspected and cleaned to excellent condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","laptop fully restored by our trained technicians, this unit is in good condition. completely reset and reformatted with a fresh install of windows 10 pro os.",other,intel core i7,3.0,notebook/laptop,779.2421706908917,447.94931867081044,windows,ssd,98.89,512.0,14.0,16.0
2249,hp,99.0,black,"10/100 LAN Card, Built-in Microphone, Built-in Webcam",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",used like new. light scratches on top.,amd,amd a8 quad-core,2.0,notebook/laptop,779.2421706908917,447.94931867081044,windows,hdd/ssd,750.0,205.95,15.6,4.0
2250,dell,139.0,gray,No specifications,Good - Refurbished,"The item shows moderate wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition by qualified sellers. The item includes original or new accessories and will come in a new generic packaging. See the seller's listing for full details.","tested working. unit shows minor cosmetic signs of wear and tear (scratches, scuffing, etc.). see pictures for details. include ac adapter. as battery is used, battery life is not guaranteed.",other,intel core i5 2nd generation,2.5,notebook/laptop,779.2421706908917,447.94931867081044,windows,ssd,98.89,128.0,14.0,8.0
2251,dell,550.0,black,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,i5,2.3,notebook/laptop,1366.0,768.0,unknown,other,98.89,205.95,12.5,8.0
2252,acer,40.0,black,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel celeron,1.4,notebook/laptop,779.2421706908917,447.94931867081044,chrome,unknown,98.89,205.95,11.6,16.0
2253,dell,125.0,black,Wi-Fi,For parts or not working,"An item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, items that are locked or can't be activated, or items missing essential components. See the seller's listing for full details.",powered on. boot to bios only. water damage to the screen. please see the description,other,intel core 2 duo,2.8,notebook/laptop,1366.0,768.0,unknown,other,98.89,205.95,14.0,4.0
2254,hp,140.0,gray,"Bluetooth,  Built-in Microphone,  Touchscreen,  Wi-Fi,  Built-In Webcam",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",these units have hardly been used and are in excellent condition. a power adapter is included.,intel,intel celeron,1.1,notebook/laptop,1366.0,768.0,chrome,emmc,32.0,32.0,14.0,4.0
2255,lenovo,45.0,black,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","fully tested, fully functional. this device is in good cosmetic condition may have minor scratches or scuffs on the body and screen. it has been tested and restored to 100% functionality. comes in a white box with a charger.",other,intel celeron,1.6,other,1366.0,768.0,chrome,ssd,16.0,16.0,11.6,4.0
2256,samsung,119.5,silver,"Bluetooth, Wi-Fi, LTE",Excellent - Refurbished,"The item is in like-new condition, backed by a one year warranty. It has been professionally refurbished, inspected and cleaned to excellent condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","excellent 9/10 condition with 1 year warranty - repackaged with new 30 charger. wifi / lte unlocked compatible with any gsm carrier, including: at&t, h2o, cricket, metro pcs, t-mobile. item is fully functional and has been professionally inspected and tested.the item is in excellent condition, may have minor blemishes due to handling / storage of device.",intel,intel celeron n,1.1,notebook/laptop,1366.0,768.0,chrome,emmc,98.89,32.0,14.0,4.0
2257,dell,237.5,gray,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",item cleaned and tested. items are grade a- to b+ in condition. any defective or worn parts are replaced. laptop is refreshed with windows and bonus software including an office suite. bonus software can be removed if requested. all software updates are done and all drivers installed. completed by microsoft certified technicians.,other,intel core 2 duo,1.66,notebook/laptop,779.2421706908917,447.94931867081044,windows,hdd/ssd,500.0,205.95,15.0,4.0
2258,dell,290.0,other,Touchscreen,Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",fully tested one year warranty,other,intel core i7 8th generation,1.9,notebook/laptop,1920.0,1080.0,windows,ssd,512.0,512.0,13.0,16.0
2259,acer,55.0,other,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel core i3 8th generation,1.1861742242409754,notebook/laptop,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,13.7,5.98
2260,dell,140.0,black,"Wi-Fi,  10/100 LAN Card,  Backlit Keyboard,  Widescreen Display",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",laptop is in very good condition.,other,intel core i5 8th generation,1.7,notebook/laptop,1920.0,1080.0,windows,ssd,512.0,256.0,14.0,16.0
2262,dell,159.8,orange,"Bluetooth, Built-in Microphone, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel core i5 7th generation,2.6,notebook/laptop,779.2421706908917,447.94931867081044,windows,ssd,256.0,256.0,14.0,16.0
2263,acer,249.9,silver,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard",Undefined,Undefined,undefined,intel,intel core i3 11th generation,4.1,notebook/laptop,1920.0,1080.0,windows,ssd,128.0,128.0,15.6,4.0
2265,hp,199.0,black,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 5th generation,2.2,notebook/laptop,1366.0,768.0,windows,ssd,256.0,256.0,15.6,16.0
2266,lenovo,570.0,blue,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Wi-Fi, Fingerprint Reader",Open box,"An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.","this laptop has been ""certified factory refurbished"" by lenovo direct (not by 3rd party) to brand new condition and is backed by a lenovo factory warranty. looks just ""like new"" sealed in a lenovo box. lenovo warranty card. all original accessories included! you wont see a difference. save big!!!",intel,intel core i7 11th generation,4.7,notebook/laptop,1920.0,1080.0,windows,ssd,512.0,512.0,15.6,12.0
2267,dell,347.8,other,"10/100 LAN Card,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 3rd generation,3.0,notebook/laptop,1280.0,720.0,windows,unknown,98.89,240.0,14.0,5.98
2268,dell,167.0,other,"Backlit Keyboard,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 7th generation,2.6,notebook/laptop,1920.0,1080.0,windows,ssd,250.0,240.0,12.5,16.0
2269,samsung,38.0,black,"Wi-Fi,  Built-in Webcam,  Bluetooth,  Touchscreen,  Backlit Keyboard",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","fully tested & functional- . item will contain some small corner cracks on front lid or bottom of the actual computer, the corners may have bends as well.the screen will have some minor scuff or hairline scratches but is working . item is functional, and fully working and has been fully tested, power-washed and restored to factory settings. the items has been fully cleaned and is in bad physical condition. the charger is tested and included",intel,intel celeron,2.5,notebook/laptop,1366.0,768.0,chrome,ssd,16.0,16.0,11.6,4.0
2270,asus,1617.0,black,"Bluetooth, Backlit Keyboard",Undefined,Undefined,undefined,intel,intel core i7 12th generation,2.3,notebook/laptop,3840.0,2400.0,windows,ssd,98.89,1000.0,16.0,16.0
